County Name,Consumption MMBtu,Expenditure US Dollars
Fairfax,11893697.825147156,100443112.33783835
Giles,149147.65754459056,1370861.4076829564
Page,185880.66875860697,1708485.6671205559
Roanoke,876708.8330080309,7413696.428601381
Danville,1165563.3244401843,12144128.22713936
Galax,2273.1428597553404,368.77397388961003
Lexington,78808.53149,724353.1422873406
Poquoson,53392.07442724125,387475.5269164883
Amelia,71410.79947161971,656358.3410448034
Fauquier,637200.3921431957,5856702.282699743
Pittsylvania,233560.17778422355,2129549.1983919726
Richmond,73280.93564802427,618862.6414
Washington,590812.4023990209,4861795.130006059
Fredericksburg,853008.3753329286,7840258.985123486
Petersburg,656384.8808628848,6033032.7442291565
Portsmouth,294529.2569691838,2547456.250763906
Albemarle,909374.2528296259,8358334.878445637
Prince William,3122210.377110366,26367285.61907116
Southampton,128628.44997643802,1182263.140319831
Westmoreland,177686.09594281358,1500571.5427023014
Chesapeake,2039234.013,16159436.61
Lynchburg,2236319.2277150583,20554689.056894958
Amherst,184947.9422757685,1699912.6949280093
Bath,1530.3748924788674,248.2740705
Greene,104435.87127204114,959901.8037
Middlesex,96871.58255520154,703013.8443143116
Northampton,2896.3578874487607,469.8786983
Smyth,241810.0959866895,1989855.2269326334
Surry,39826.92821480673,366061.3901558784
Alexandria,3241919.044836467,27378233.711319152
Falls Church,278393.3600330112,2351051.4513340234
Harrisonburg,594205.5379339063,5461523.523377094
Newport News,2048725.754168806,14867957.457220739
Fluvanna,78876.69980943395,724979.6981189704
Orange,243452.82166033494,2237648.8056130596
Rockingham,653732.8641427532,6008657.253253542
Alleghany,130796.04296730818,1202186.1457546784
Bland,384.7310378283746,62.415256067370244
Frederick,1038978.4044293939,8774245.496744834
Lunenburg,60935.59899256456,560077.5928280413
Stafford,926207.7939998191,8513057.066925248
Warren,356312.5837564223,3009084.760749771
Emporia,141172.79569312144,1297562.0308769532
Accomack,5368.737180061405,870.9749744260752
Grayson,73481.34285968613,604677.9543077839
Halifax,330121.1980087227,3034244.168722358
James City,651138.4003727224,4725424.091707945
King George,151918.01826942622,1396324.6342316857
Spotsylvania,1015490.1117404808,9333677.960048195
Wythe,245526.86658508182,2020440.5314287618
Covington,85660.33938425514,787330.1892052247
Franklin,152075.10076750614,1397768.4271378908
Hopewell,274619.33453701256,2524109.688655989
Manassas Park,115351.26173363434,974149.4957849062
Richmond,6930980.5428443765,70843039.71549216
Caroline,185581.72994580353,1705738.0299348093
King and Queen,13919.424449343813,101015.6728577026
King William,82939.52428,601906.4855842318
Rockbridge,175654.46768463022,1614493.5478859171
Scott,2258.9850263254957,366.47713600990176
Bristol,8446.862828986952,1370.3420174773587
Appomattox,78337.23411435056,720021.3049601591
Northumberland,115658.93953879017,976747.8565666907
Fairfax City,481811.86131054006,4068934.961960367
Brunswick,95669.86468378744,879330.7754329178
Charlotte,76418.13513624357,702382.2836079574
Culpeper,419328.17818726157,3854172.610307106
Goochland,228210.4756781979,2097551.775958443
Isle of Wight,278491.6730145967,2559701.5278810053
Nottoway,138653.84951510778,1274409.6316190544
Prince Edward,194087.3000991952,1783915.3078729585
Tazewell,395328.14731636754,3276246.462
Franklin,341966.0462594965,2861768.7024412914
Louisa,190086.58179669164,1747143.4908781587
Buena Vista,48571.77183389112,446437.90330869344
Colonial Heights,358297.84120269684,3293224.2520205607
Norfolk,2554232.162261241,18536504.970066935
Roanoke City,1913089.670150516,16612433.973246759
Bedford,329619.23474623216,2862269.2700051535
Chesterfield,2896243.5366147268,26620253.75940224
Dinwiddie,195757.38185080938,1799265.536018021
Floyd,77216.59631971199,635415.3543712135
Gloucester,214241.0867261959,1554784.6542824416
Greensville,59438.577576192954,546318.0142804545
Prince George,233284.98864175705,2144193.165116682
Rappahannock,57458.013651114874,528114.0500524575
Botetourt,448164.1906704066,3891661.8188183447
Clarke,207712.7227081389,1754148.511823472
Lancaster,148124.00427796517,1250917.6051105307
Shenandoah,440708.9881351893,3721818.3147623288
Hampton,1273023.053081588,9238548.673
Manassas,511818.73850437836,4322345.144561306
Martinsville,273476.9734,2103773.020075462
Augusta,499411.983,4590247.176038856
Buchanan,107259.01246519445,888899.4181762101
Charles City,41174.89786744198,298813.36176856246
Craig,259.4792881,42.09555409811389
Cumberland,78772.66537770221,724023.4859336601
Essex,89433.19122892592,649032.1506738102
Hanover,1081532.2761888863,7848866.955364322
Henrico,4538296.6810909705,46386904.43
Highland,206.31626334393368,33.47086962330148
Montgomery,859714.5456,7269987.956370428
New Kent,89717.99370395126,651099.0115483156
Russell,112960.45142879151,936149.5807213646
York,649693.7619,4714940.101160114
Norton,85632.87269692092,709674.7300039708
Buckingham,31530.996284965666,289810.9608188339
Campbell,425642.3075857625,3912207.690793294
Lee,1746.3545085925357,283.3126343294423
Loudoun,4670980.271707102,39446756.00575988
Madison,56853.67944258153,522559.43078086915
Mecklenburg,287944.6270430117,2646586.4980831277
Powhatan,140935.8556786513,1295384.2431902064
Arlington,3735052.051338608,31542776.54112905
Carroll,151024.97257209208,1242784.4662083692
Dickenson,50545.40296185474,418890.48068787495
Henry,508720.46459780965,3913427.7921787356
Mathews,46994.84187,341049.70273674466
Nelson,127832.57555029323,1174948.0167626492
Patrick,2150.401844513381,348.8615904829883
Pulaski,230359.27350856512,1895626.4113141408
Sussex,77273.00784039387,710239.678
Wise,267547.79680030013,2217278.3005643557
Charlottesville,1014748.6862574028,10268091.055783775
Radford,2685.3403797899764,435.64514157289193
