2024 Utility Bundled Retail Sales- Residential,,,,,,
(Data from forms EIA-861- schedules 4A & 4D and EIA-861S),,,,,,
Entity,State,Ownership,Customers (Count),Sales (Megawatthours),Revenues (Thousands Dollars),Average Price (cents/kWh)
Alaska Electric Light & Power Co.,AK,Investor Owned,"15,407","170,626","22,067.7",12.93
Alaska Power and Telephone Co,AK,Investor Owned,"5,737","27,967","10,397.0",37.18
"Alaska Village Elec Coop, Inc",AK,Cooperative,"7,689","43,854","30,675.3",69.95
Chugach Electric Assn Inc,AK,Cooperative,"97,048","590,921","125,486.7",21.24
Golden Valley Elec Assn Inc,AK,Cooperative,"40,675","288,667","87,530.9",30.32
Homer Electric Assn Inc,AK,Cooperative,"29,721","177,136","52,771.3",29.79
Ketchikan Public Utilities,AK,Municipal,"6,561","78,034","9,741.7",12.48
Kodiak Electric Assn Inc,AK,Cooperative,"4,772","39,813","7,498.0",18.83
Kotzebue Electric Assn Inc,AK,Cooperative,"1,227","7,715","3,695.1",47.90
Matanuska Electric Assn Inc,AK,Cooperative,"64,205","466,931","109,114.7",23.37
Alabama Power Co,AL,Investor Owned,"1,332,911","18,058,325","3,028,741.0",16.77
Albertville Municipal Utilities Board,AL,Municipal,"8,318","124,264","13,258.0",10.67
Arab Electric Coop Inc,AL,Cooperative,"14,062","208,955","24,986.0",11.96
Baldwin County El Member Corp,AL,Cooperative,"83,005","1,121,292","155,483.0",13.87
Black Warrior Elec Member Corp,AL,Cooperative,"20,053","267,309","35,392.8",13.24
Central Alabama Electric Coop,AL,Cooperative,"45,036","628,803","104,651.0",16.64
Cherokee Electric Coop - (AL),AL,Cooperative,"18,830","252,438","38,021.0",15.06
City of Andalusia,AL,Municipal,"3,605","42,321","6,678.0",15.78
City of Athens - (AL),AL,Municipal,"50,985","695,825","85,146.0",12.24
City of Bessemer Utilities,AL,Municipal,"9,378","116,464","14,276.0",12.26
City of Courtland,AL,Municipal,551,"7,566",901.0,11.91
City of Dothan - (AL),AL,Municipal,"26,752","377,220","40,445.0",10.72
City of Florence - (AL),AL,Municipal,"41,594","635,264","73,769.0",11.61
City of Hartselle,AL,Municipal,"4,629","63,141","7,664.0",12.14
City of Huntsville - (AL),AL,Municipal,"197,537","2,779,774","318,331.0",11.45
City of Muscle Shoals,AL,Municipal,"7,154","105,580","12,631.0",11.96
City of Opelika - (AL),AL,Municipal,"13,555","164,791","21,140.0",12.83
City of Russellville - (AL),AL,Municipal,"3,890","50,459","6,688.0",13.25
City of Scottsboro - (AL),AL,Municipal,"7,090","99,747","12,835.0",12.87
City of Tarrant,AL,Municipal,"2,069","28,980","3,897.0",13.45
City of Troy - (AL),AL,Municipal,"7,855","98,455","9,511.5",9.66
City of Tuscumbia,AL,Municipal,"4,038","54,455","6,432.0",11.81
Clarke-Washington E M C,AL,Cooperative,"18,708","220,870","34,811.0",15.76
Coosa Valley Electric Coop Inc,AL,Cooperative,"15,612","227,026","35,671.0",15.71
"Covington Electric Coop, Inc",AL,Cooperative,"23,281","316,974","52,781.9",16.65
"Cullman Electric Coop, Inc",AL,Cooperative,"39,779","591,417","78,419.0",13.26
Cullman Power Board,AL,Municipal,"7,049","90,546","11,442.0",12.64
Decatur Utilities,AL,Municipal,"22,820","320,833","35,773.0",11.15
Diverse Power Incorporated,AL,Cooperative,589,"8,118","1,402.3",17.27
Dixie Electric Coop - (AL),AL,Cooperative,"22,054","311,929","46,941.0",15.05
Foley Board of Utilities,AL,Municipal,"50,954","755,706","101,881.0",13.48
Fort Payne Improvement Authority,AL,Municipal,"6,922","96,984","11,776.0",12.14
Franklin Electric Coop - (AL),AL,Cooperative,"5,979","79,843","11,205.0",14.03
Guntersville Electric Board,AL,Municipal,"4,875","71,438","9,143.0",12.80
Joe Wheeler Elec Member Corp,AL,Cooperative,"36,973","595,913","86,327.0",14.49
Marshall-De Kalb Electric Coop,AL,Cooperative,"17,318","257,918","32,202.0",12.49
North Alabama Electric Coop,AL,Cooperative,"13,099","198,549","25,483.0",12.83
Pea River Electric Coop,AL,Cooperative,"14,922","205,084","34,400.8",16.77
Sand Mountain Electric Coop,AL,Cooperative,"27,298","385,353","48,380.0",12.55
Sheffield Utilities,AL,Municipal,"15,663","234,217","28,928.0",12.35
Singing River Elec Cooperative,AL,Cooperative,336,"4,897",653.1,13.34
"South Alabama Elec Coop, Inc",AL,Cooperative,"16,801","205,849","31,775.0",15.44
"Southern Pine Elec Coop, Inc",AL,Cooperative,"20,645","262,752","36,514.0",13.90
Tallapoosa River Elec Coop Inc,AL,Cooperative,"29,578","410,431","59,051.0",14.39
"Wiregrass Electric Coop, Inc",AL,Cooperative,"22,401","328,360","50,742.0",15.45
Arkansas Valley Elec Coop Corp,AR,Cooperative,"54,372","721,279","96,119.8",13.33
C & L Electric Coop Corp,AR,Cooperative,"20,000","251,978","33,414.0",13.26
Carroll Electric Coop Corp - (AR),AR,Cooperative,"101,154","1,320,033","161,753.0",12.25
City Water and Light Plant,AR,Municipal,"35,013","503,106","33,351.0",6.63
City of Benton - (AR),AR,Municipal,"12,972","155,389","16,004.0",10.30
City of Bentonville - (AR),AR,Municipal,"25,103","287,396","33,472.0",11.65
City of Hope - (AR),AR,Municipal,"5,782","63,051","7,372.0",11.69
City of North Little Rock - (AR),AR,Municipal,"34,984","371,555","45,431.0",12.23
City of Siloam Springs - (AR),AR,Municipal,"8,590","88,813","10,344.0",11.65
City of West Memphis - (AR),AR,Municipal,"10,199","139,667","11,281.0",8.08
Clarksville Connected Utilities,AR,Municipal,"3,812","45,234","3,923.8",8.67
Clay County Electric Coop Corp - (AR),AR,Cooperative,"10,523","111,277","15,795.6",14.19
Conway Corporation,AR,Municipal,"30,979","366,220","30,354.0",8.29
Craighead Electric Coop Corp,AR,Cooperative,"25,326","385,539","46,240.0",11.99
Empire District Electric Co,AR,Investor Owned,"4,813","53,043","7,105.1",13.39
Entergy Arkansas LLC,AR,Investor Owned,"608,362","7,708,656","999,636.9",12.97
"EverBright, LLC",AR,Behind the Meter,2,3,0.6,20.00
First Electric Coop Corp,AR,Cooperative,"95,175","1,332,404","163,494.0",12.27
Mississippi County Electric Co,AR,Cooperative,"3,232","54,855","4,653.0",8.48
"North Arkansas Elec Coop, Inc",AR,Cooperative,"36,355","420,412","54,083.4",12.86
Oklahoma Gas & Electric Co,AR,Investor Owned,"58,218","718,272","82,513.7",11.49
Ouachita Electric Coop Corp,AR,Cooperative,"8,391","95,374","12,576.0",13.19
