DATA_CENTER_BUILDING_NAME,PROVIDER_NAME,Company_Size,TOT_POWER_MW,County,county_population,county_population_density,county_median_household_income,county_electricity_generation_GWh_04_25_to_04_26,county_commercial_electricity_consumption_mmbtu,county_commercial_natural_gas_consumption_mmbtu,Annual_Water_Volume_Million_Gallons
Enterprise Data Center 1 NoVa,Carter Funds,500,8.49769999999999,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Clarksville - AI Data Center 1,TECfusions,200,80.0,Mecklenburg County,30516.0,49.096,57045.0,790.3,718443.785469246,287944.627043012,47.276626666666700
VIN1 Data Center 1,OVHCloud,5000,12.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - John Marshall 2 Building 1,Black Chamber,50,60.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Gainesville Crossing Building 2,Corscale,50,72.0,Prince William County,488880.0,1515.16417910448,131402.0,2900.0,7050735.87553047,3122210.37711037,2673.7709
Gainesville Crossing Building 1,Corscale,50,72.0,Prince William County,488880.0,1515.16417910448,131402.0,2900.0,7050735.87553047,3122210.37711037,2673.7709
Yondr NOV1B,Yondr,200,48.0,Prince William County,488880.0,1515.16417910448,131402.0,2900.0,7050735.87553047,3122210.37711037,2673.7709
Yondr NOV1A,Yondr,200,48.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
VA-1 - Northern Virginia Data Center,Iron Mountain Data Centers,500,12.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
VA-2 - Northern Virginia Data Center,Iron Mountain Data Centers,500,32.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
VA-3 - Northern Virginia Data Center,Iron Mountain Data Centers,500,14.495,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
VA-4 - Northern Virginia Data Center,Iron Mountain Data Centers,500,15.586,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
VA-5 - Northern Virginia Data Center,Iron Mountain Data Centers,500,23.9,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
VA-7 - Northern Virginia Data Center,Iron Mountain Data Centers,500,36.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
VA-6 - Northern Virginia Data Center,Iron Mountain Data Centers,500,32.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
US Gov East us-langley-1,Oracle,162000,,Fairfax County,1147837.0,3007.51918158568,153637.0,730.3,32056382.3179303,11893697.8251472,2682.082984090910
Ashburn Data Center,Mosaic Data Services,500,,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
US DoD East us-gov-ashburn-1,Oracle,162000,,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
US East us-ashburn-1,Oracle,162000,,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
SDC Ashburn Data Center Building B,Sabey Data Centers,150,23.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
SDC Ashburn Data Center Building C,Sabey Data Centers,150,7.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Virginia Data Center Building 2,H5 Data Centers,200,3.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Virginia Data Center Building 3,H5 Data Centers,200,8.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Virginia Data Center Building 1,H5 Data Centers,200,3.0,Prince William County,488880.0,1515.16417910448,131402.0,2900.0,7050735.87553047,3122210.37711037,2673.7709
Ashburn VA2 Virginia Data Center,NTT Communications,10000,,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Ashburn Data Center,H5 Data Centers,200,42.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
VA1 Herndon Data Center,365 Data Centers,500,0.83,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Asburn Data Center,Atlantic.net,100,2.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
CTP-01 Richmond - AI Data Center,Chirisa Technology Parks,200,28.0,Chesterfield County,377869.0,950.596698113208,101931.0,2100.0,6673889.97843701,2896243.53661473,7893.9585
DCA2 - McLean Data Center,"Superb Internet, A CherryRoad Company",200,,Fairfax County,1147837.0,3007.51918158568,153637.0,730.3,32056382.3179303,11893697.8251472,2682.082984090910
DCA2 McLean Data Center,HopOne @CherryRoad,50,0.125,Fairfax County,1147837.0,3007.51918158568,153637.0,730.3,32056382.3179303,11893697.8251472,2682.082984090910
DCA3 - Springfield Data Center,"Superb Internet, A CherryRoad Company",200,,Fairfax County,1147837.0,3007.51918158568,153637.0,730.3,32056382.3179303,11893697.8251472,2682.082984090910
Globalinx Virginia Data Center,Globalinx,200,0.9309,Franklin County,55130.0,80.2315484804631,68849.0,,1174814.35873065,494041.14702700300,24.485715384615400
IAD02 Ashburn Data Center,Aligned Data Centers,5000,120.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
IAD01 Ashburn Data Center,Aligned Data Centers,5000,60.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
IAD-03 Data Center,Aligned Data Centers,5000,72.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - John Marshall Building 4,Amazon AWS,1576000,33.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - John Marshall Building 3,Amazon AWS,1576000,42.0,Fairfax County,1147837.0,3007.51918158568,153637.0,730.3,32056382.3179303,11893697.8251472,2682.082984090910
Amazon AWS IAD - John Marshall Building 2,Amazon AWS,1576000,42.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - John Marshall Building 1,Amazon AWS,1576000,71.5,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 41992 John Mosby Building 1,Amazon AWS,1576000,45.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 41992 John Mosby Building 2,Amazon AWS,1576000,45.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 7060 Wellington Building 1,Amazon AWS,1576000,30.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 41992 John Mosby Building 3,Amazon AWS,1576000,66.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 41992 John Mosby Building 4,Amazon AWS,1576000,66.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 7080 Wellington Building 2,Amazon AWS,1576000,27.5,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD -Wellington Building 3,Amazon AWS,1576000,57.5234595959596,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 7600 Doane,Amazon AWS,1576000,22.5,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 11800 Brewers,Amazon AWS,1576000,32.5,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 11801 Brewers,Amazon AWS,1576000,40.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - Bethlehem Building 2,Amazon AWS,1576000,50.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - Bethlehem Building 3,Amazon AWS,1576000,27.5,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - Mason Building 1,Amazon AWS,1576000,27.5,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - Bethlehem Building 4,Amazon AWS,1576000,27.5,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - Mason Building 3,Amazon AWS,1576000,5.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - Bethlehem Building 1,Amazon AWS,1576000,42.5,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD -  Mason Building 2,Amazon AWS,1576000,35.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 9651 Hornbaker,Amazon AWS,1576000,17.5,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 11200 Thomasson,Amazon AWS,1576000,35.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 11150 Thomasson,Amazon AWS,1576000,45.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 24185 Upper Woodside,Amazon AWS,1576000,40.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 24178 Upper Woodside,Amazon AWS,1576000,42.5,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 42800 Fadeley,Amazon AWS,1576000,40.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 9680 Innovation,Amazon AWS,1576000,60.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 42949 Fadeley,Amazon AWS,1576000,27.5,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 9040 Freedom Building 2,Amazon AWS,1576000,45.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 9700 Innovation,Amazon AWS,1576000,60.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 9720 Innovation,Amazon AWS,1576000,60.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 9020 Freedom Building 1,Amazon AWS,1576000,45.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 9740 Innovation,Amazon AWS,1576000,60.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 10321 Tanner Building 1,Amazon AWS,1576000,60.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
