DATA_CENTER_BUILDING_NAME,PROVIDER_NAME,TOT_POWER_MW,County
Enterprise Data Center 1 NoVa,Carter Funds,8.49769999999999,Loudoun County
Clarksville - AI Data Center 1,TECfusions,80.0,Mecklenburg County
VIN1 Data Center 1,OVHCloud,12.0,Loudoun County
Amazon AWS IAD - John Marshall 2 Building 1,Black Chamber,60.0,Loudoun County
Gainesville Crossing Building 2,Corscale,72.0,Prince William County
Gainesville Crossing Building 1,Corscale,72.0,Prince William County
Yondr NOV1B,Yondr,48.0,Prince William County
Yondr NOV1A,Yondr,48.0,Loudoun County
VA-1 - Northern Virginia Data Center,Iron Mountain Data Centers,12.0,Loudoun County
VA-2 - Northern Virginia Data Center,Iron Mountain Data Centers,32.0,Loudoun County
VA-3 - Northern Virginia Data Center,Iron Mountain Data Centers,14.495,Loudoun County
VA-4 - Northern Virginia Data Center,Iron Mountain Data Centers,15.586,Loudoun County
VA-5 - Northern Virginia Data Center,Iron Mountain Data Centers,23.9,Loudoun County
VA-7 - Northern Virginia Data Center,Iron Mountain Data Centers,36.0,Loudoun County
VA-6 - Northern Virginia Data Center,Iron Mountain Data Centers,32.0,Loudoun County
US Gov East us-langley-1,Oracle,,Fairfax County
Ashburn Data Center,Mosaic Data Services,,Loudoun County
US DoD East us-gov-ashburn-1,Oracle,,Loudoun County
US East us-ashburn-1,Oracle,,Loudoun County
SDC Ashburn Data Center Building B,Sabey Data Centers,23.0,Loudoun County
SDC Ashburn Data Center Building C,Sabey Data Centers,7.0,Loudoun County
Virginia Data Center Building 2,H5 Data Centers,3.0,Loudoun County
Virginia Data Center Building 3,H5 Data Centers,8.0,Loudoun County
Virginia Data Center Building 1,H5 Data Centers,3.0,Prince William County
Ashburn VA2 Virginia Data Center,NTT Communications,,Loudoun County
Ashburn Data Center,H5 Data Centers,42.0,Loudoun County
VA1 Herndon Data Center,365 Data Centers,0.83,Loudoun County
Asburn Data Center,Atlantic.net,2.0,Loudoun County
CTP-01 Richmond - AI Data Center,Chirisa Technology Parks,28.0,Chesterfield County
DCA2 - McLean Data Center,"Superb Internet, A CherryRoad Company",,Fairfax County
DCA2 McLean Data Center,HopOne @CherryRoad,0.125,Fairfax County
DCA3 - Springfield Data Center,"Superb Internet, A CherryRoad Company",,Fairfax County
Globalinx Virginia Data Center,Globalinx,0.9309,Franklin County
IAD02 Ashburn Data Center,Aligned Data Centers,120.0,Loudoun County
IAD01 Ashburn Data Center,Aligned Data Centers,60.0,Loudoun County
IAD-03 Data Center,Aligned Data Centers,72.0,Loudoun County
Amazon AWS IAD - John Marshall Building 4,Amazon AWS,33.0,Loudoun County
Amazon AWS IAD - John Marshall Building 3,Amazon AWS,42.0,Fairfax County
Amazon AWS IAD - John Marshall Building 2,Amazon AWS,42.0,Loudoun County
Amazon AWS IAD - John Marshall Building 1,Amazon AWS,71.5,Loudoun County
Amazon AWS IAD - 41992 John Mosby Building 1,Amazon AWS,45.0,Loudoun County
Amazon AWS IAD - 41992 John Mosby Building 2,Amazon AWS,45.0,Loudoun County
Amazon AWS IAD - 7060 Wellington Building 1,Amazon AWS,30.0,Loudoun County
Amazon AWS IAD - 41992 John Mosby Building 3,Amazon AWS,66.0,Loudoun County
Amazon AWS IAD - 41992 John Mosby Building 4,Amazon AWS,66.0,Loudoun County
Amazon AWS IAD - 7080 Wellington Building 2,Amazon AWS,27.5,Loudoun County
Amazon AWS IAD -Wellington Building 3,Amazon AWS,57.5234595959596,Loudoun County
Amazon AWS IAD - 7600 Doane,Amazon AWS,22.5,Loudoun County
Amazon AWS IAD - 11800 Brewers,Amazon AWS,32.5,Loudoun County
Amazon AWS IAD - 11801 Brewers,Amazon AWS,40.0,Loudoun County
Amazon AWS IAD - Bethlehem Building 2,Amazon AWS,50.0,Loudoun County
Amazon AWS IAD - Bethlehem Building 3,Amazon AWS,27.5,Loudoun County
Amazon AWS IAD - Mason Building 1,Amazon AWS,27.5,Loudoun County
Amazon AWS IAD - Bethlehem Building 4,Amazon AWS,27.5,Loudoun County
Amazon AWS IAD - Mason Building 3,Amazon AWS,5.0,Loudoun County
Amazon AWS IAD - Bethlehem Building 1,Amazon AWS,42.5,Loudoun County
Amazon AWS IAD -  Mason Building 2,Amazon AWS,35.0,Loudoun County
Amazon AWS IAD - 9651 Hornbaker,Amazon AWS,17.5,Loudoun County
Amazon AWS IAD - 11200 Thomasson,Amazon AWS,35.0,Loudoun County
