State Rank,County,Net Generation  (Past Year),Power Plants
#34,"Accomack County, VA",237.0 GWh,9
#78,"Albemarle County, VA",1.8 GWh,1
#41,"Alexandria city, VA",146.9 GWh,2
#20,"Alleghany County, VA",740.5 GWh,2
#54,"Amelia County, VA",47.5 GWh,5
#71,"Amherst County, VA",9.4 GWh,4
#62,"Appomattox County, VA",31.2 GWh,2
#69,"Augusta County, VA",12.0 GWh,5
#52,"Bedford County, VA",55.5 GWh,5
#4,"Brunswick County, VA",9.7 TWh,5
#9,"Buckingham County, VA",3.5 TWh,7
#27,"Campbell County, VA",470.0 GWh,6
#16,"Caroline County, VA",964.1 GWh,1
#53,"Carroll County, VA",54.4 GWh,5
#29,"Charles City County, VA",342.7 GWh,5
#65,"Charlotte County, VA",24.0 GWh,4
#24,"Chesapeake city, VA",492.4 GWh,8
#13,"Chesterfield County, VA",2.1 TWh,7
#67,"Clarke County, VA",15.2 GWh,1
#80,"Culpeper County, VA",443.0 MWh,3
#76,"Dinwiddie County, VA",2.9 GWh,3
#57,"Essex County, VA",39.1 GWh,1
#21,"Fairfax County, VA",730.3 GWh,3
#15,"Fauquier County, VA",1.3 TWh,4
#7,"Fluvanna County, VA",5.3 TWh,4
#26,"Frederick County, VA",476.7 GWh,7
#40,"Giles County, VA",150.5 GWh,2
#30,"Gloucester County, VA",305.0 GWh,3
#73,"Goochland County, VA",7.3 GWh,2
#66,"Grayson County, VA",20.6 GWh,1
#3,"Greensville County, VA",11.9 TWh,7
#10,"Halifax County, VA",3.0 TWh,13
#58,"Hampton city, VA",36.5 GWh,1
#6,"Hanover County, VA",5.6 TWh,2
#35,"Henrico County, VA",222.0 GWh,6
#39,"Henry County, VA",164.4 GWh,10
#82,"Highland County, VA",179.0 MWh,1
#23,"Hopewell city, VA",587.6 GWh,3
#19,"Isle of Wight County, VA",772.2 GWh,9
#46,"James City County, VA",76.4 GWh,2
#51,"King and Queen County, VA",59.9 GWh,1
#45,"King George County, VA",77.1 GWh,2
#22,"King William County, VA",607.8 GWh,3
#68,"Lancaster County, VA",12.3 GWh,3
#8,"Loudoun County, VA",4.8 TWh,2
#1,"Louisa County, VA",17.1 TWh,9
#18,"Mecklenburg County, VA",790.3 GWh,5
#48,"Middlesex County, VA",75.9 GWh,2
#55,"Montgomery County, VA",41.2 GWh,2
#64,"New Kent County, VA",29.0 GWh,2
#79,"Norfolk city, VA",1.4 GWh,1
#63,"Northampton County, VA",30.6 GWh,2
#42,"Orange County, VA",119.3 GWh,1
#75,"Page County, VA",5.8 GWh,2
#60,"Patrick County, VA",35.1 GWh,1
#28,"Pittsylvania County, VA",391.0 GWh,16
#59,"Portsmouth city, VA",35.6 GWh,2
#49,"Powhatan County, VA",69.8 GWh,5
#74,"Prince Edward County, VA",7.3 GWh,3
#12,"Prince George County, VA",2.2 TWh,4
#11,"Prince William County, VA",2.9 TWh,11
#33,"Pulaski County, VA",237.7 GWh,5
#50,"Richmond city, VA",65.7 GWh,3
#37,"Richmond County, VA",174.0 GWh,5
#72,"Roanoke County, VA",7.6 GWh,1
#70,"Rockbridge County, VA",10.9 GWh,2
#47,"Rockingham County, VA",75.9 GWh,10
#31,"Russell County, VA",246.8 GWh,1
#81,"Salem city, VA",256.0 MWh,3
#56,"Shenandoah County, VA",39.3 GWh,2
#25,"Southampton County, VA",491.6 GWh,5
#17,"Spotsylvania County, VA",899.6 GWh,4
#77,"Stafford County, VA",2.1 GWh,3
#44,"Suffolk city, VA",102.0 GWh,6
#2,"Surry County, VA",13.8 TWh,6
#32,"Sussex County, VA",242.5 GWh,3
#61,"Virginia Beach city, VA",31.7 GWh,2
#5,"Warren County, VA",8.7 TWh,2
#36,"Washington County, VA",177.8 GWh,1
#43,"Westmoreland County, VA",105.1 GWh,4
#14,"Wise County, VA",2.1 TWh,3
#38,"Wythe County, VA",164.8 GWh,2
