county,population
Accomack County,33335
Albemarle County,114919
Alexandria city,156976
Alleghany County,14859
Amelia County,13462
Amherst County,31485
Appomattox County,16610
Arlington County,236254
Augusta County,78033
Bath County,4100
Bedford County,80894
Bland County,6199
Botetourt County,34004
Bristol city,16849
Brunswick County,15841
Buchanan County,19415
Buckingham County,16976
Buena Vista city,6593
Campbell County,55312
Caroline County,32098
Carroll County,29157
Charles City County,6627
Charlotte County,11422
Charlottesville city,45437
Chesapeake city,252583
Chesterfield County,377869
Clarke County,15216
Colonial Heights city,18352
Covington city,5680
Craig County,4856
Culpeper County,54397
Cumberland County,9818
Danville city,42214
Dickenson County,13733
Dinwiddie County,28191
Emporia city,5547
Essex County,10623
Fairfax County,1147837
Fairfax city,25026
Falls Church city,14710
Fauquier County,74577
Floyd County,15593
Fluvanna County,28092
Franklin County,55130
Franklin city,8250
Frederick County,95008
Fredericksburg city,28873
Galax city,6726
Giles County,16557
Gloucester County,39526
Goochland County,26410
Grayson County,15287
Greene County,21155
Greensville County,11275
Halifax County,33639
Hampton city,137557
Hanover County,112879
Harrisonburg city,51392
Henrico County,335744
Henry County,49980
Highland County,2296
Hopewell city,22959
Isle of Wight County,39974
James City County,81013
King George County,27896
King William County,18593
King and Queen County,6695
Lancaster County,10936
Lee County,21900
Lexington city,7525
Loudoun County,432998
Louisa County,39980
Lunenburg County,12016
Lynchburg city,79497
Madison County,14044
Manassas Park city,16798
Manassas city,42976
Martinsville city,13658
Mathews County,8540
Mecklenburg County,30516
Middlesex County,10847
Montgomery County,99101
Nelson County,14732
New Kent County,25105
Newport News city,184216
Norfolk city,233596
Northampton County,12059
Northumberland County,12188
Norton city,3577
Nottoway County,15597
Orange County,37822
Page County,23727
Patrick County,17512
Petersburg city,33537
Pittsylvania County,59856
Poquoson city,12639
Portsmouth city,97190
Powhatan County,31555
Prince Edward County,21996
Prince George County,43146
Prince William County,488880
Pulaski County,33687
Radford city,16726
Rappahannock County,7427
Richmond County,9095
Richmond city,229359
Roanoke County,97023
Roanoke city,98355
Rockbridge County,22531
Rockingham County,85600
Russell County,25538
Salem city,25618
Scott County,21479
Shenandoah County,44925
Smyth County,29420
Southampton County,17964
Spotsylvania County,146603
Stafford County,163466
Staunton city,25948
Suffolk city,98796
Surry County,6549
Sussex County,10765
Tazewell County,39624
Virginia Beach city,456349
Warren County,41531
Washington County,53926
Waynesboro city,22841
Westmoreland County,18826
Williamsburg city,15798
Winchester city,27913
Wise County,35448
Wythe County,28188
York County,71005
