"county","pop2026","areaMi","densityMi","growthSince2020"
"Fairfax County",1175940,391,3007.519181585678,0.023804673175471303
"Prince William County",507580,335,1515.1641791044776,0.051242859924032436
"Loudoun County",455749,516,883.234496124031,0.0782033296032818
"Virginia Beach city",453711,245,1851.8816326530612,-0.01286915883783768
"Chesterfield County",403053,424,950.5966981132076,0.1032573289902281
"Henrico County",345526,234,1476.6068376068376,0.031639541514768776
"Chesapeake city",255894,338,757.0828402366864,0.0249904868718831
"Arlington County",248175,26,9545.192307692309,0.03915000523395795
"Richmond city",239707,60,3995.116666666667,0.05631767044027369
"Norfolk city",230921,53,4357,-0.029168541026406425
"Newport News city",183059,69,2653.0289855072465,-0.015970542385636777
"Stafford County",172818,269,642.446096654275,0.09542795205466437
"Alexandria city",161957,15,10797.133333333333,0.017656631918917753
"Spotsylvania County",158315,402,393.818407960199,0.12590764591674897
"Hampton city",137231,51,2690.8039215686276,-0.00034965289665567223
"Albemarle County",119400,720,165.83333333333334,0.06059798539679151
"Hanover County",117293,468,250.6260683760684,0.0642585585830815
"Suffolk city",106391,399,266.64411027568923,0.12205488409373744
"Frederick County",101730,413,246.31961259079904,0.10707250982141892
"Roanoke city",99532,43,2314.6976744186045,-0.003713602194128307
"Montgomery County",98511,387,254.5503875968992,-0.010864217364674245
"Roanoke County",96927,251,386.1633466135458,-0.00031972606695684913
"Portsmouth city",96709,33,2930.5757575757575,-0.013082834137828958
"Rockingham County",90313,850,106.25058823529412,0.07797803771783252
"James City County",83756,142,589.830985915493,0.06714573299696758
"Bedford County",83651,760,110.0671052631579,0.051023997989697145
"Lynchburg city",82378,49,1681.1836734693877,0.04282549528451174
"Augusta County",79116,967,81.81592554291623,0.01972005258680687
"Fauquier County",77141,648,119.04475308641975,0.05655234755930527
"York County",71410,105,680.0952380952381,0.01671507489036972
"Pittsylvania County",59475,969,61.37770897832817,-0.01480892511056997
"Culpeper County",58576,379,154.55408970976254,0.1101508604351451
"Campbell County",55695,503,110.72564612326043,0.0017446670743552772
"Franklin County",55440,691,80.2315484804631,0.017658504350380078
"Washington County",53682,561,95.68983957219251,-0.004229271007234248
"Harrisonburg city",50886,17,2993.294117647059,-0.01570660373708843
"Henry County",48961,382,128.17015706806282,-0.03705379093322847
"Shenandoah County",46210,508,90.96456692913385,0.04410502056125454
"Manassas city",44626,10,4462.6,0.04535019910986171
"Charlottesville city",44167,10,4416.7,-0.04880149893394781
"Prince George County",44130,265,166.52830188679246,0.024468381465317046
"Louisa County",43672,495,88.22626262626262,0.15580256715627905
"Warren County",42996,215,199.9813953488372,0.05392685557407595
"Isle of Wight County",41752,316,132.126582278481,0.07855648265350923
"Danville city",41336,43,961.3023255813954,-0.029033167340035693
