2024 Utility Bundled Retail Sales- Commercial,,,,,,
(Data from forms EIA-861- schedules 4A & 4D and EIA-861S),,,,,,
Entity,State,Ownership,Customers (Count),Sales (Megawatthours),Revenues (Thousands Dollars),Average Price (cents/kWh)
Alaska Electric Light & Power Co.,AK,Investor Owned,"2,459","126,119","13,567.0",10.76
Alaska Power and Telephone Co,AK,Investor Owned,"2,719","50,720","15,878.0",31.31
"Alaska Village Elec Coop, Inc",AK,Cooperative,"3,829","81,597","46,345.7",56.80
Chugach Electric Assn Inc,AK,Cooperative,"16,325","1,242,359","209,672.6",16.88
Golden Valley Elec Assn Inc,AK,Cooperative,"6,905","118,991","34,685.4",29.15
Homer Electric Assn Inc,AK,Cooperative,"4,415","160,774","42,424.1",26.39
Ketchikan Public Utilities,AK,Municipal,"1,389","76,702","9,227.2",12.03
Kodiak Electric Assn Inc,AK,Cooperative,"1,363","24,379","4,544.0",18.64
Kotzebue Electric Assn Inc,AK,Cooperative,127,"11,559","5,258.4",45.49
Matanuska Electric Assn Inc,AK,Cooperative,"6,849","321,388","65,069.0",20.25
TDX North Slope Generating Co,AK,Investor Owned,162,"47,662","11,825.0",24.81
Alabama Power Co,AL,Investor Owned,"207,465","13,336,758","1,979,164.0",14.84
Albertville Municipal Utilities Board,AL,Municipal,"2,393","194,750","21,539.0",11.06
Arab Electric Coop Inc,AL,Cooperative,"2,861","100,727","12,392.0",12.30
Baldwin County El Member Corp,AL,Cooperative,"8,363","537,247","59,304.0",11.04
Black Warrior Elec Member Corp,AL,Cooperative,"6,593","100,396","12,216.9",12.17
Central Alabama Electric Coop,AL,Cooperative,"2,380","100,391","13,856.0",13.80
Cherokee Electric Coop - (AL),AL,Cooperative,"7,734","118,484","20,730.0",17.50
City of Andalusia,AL,Municipal,"1,068","59,566","10,139.0",17.02
City of Athens - (AL),AL,Municipal,"8,122","407,747","47,669.0",11.69
City of Bessemer Utilities,AL,Municipal,"1,764","154,423","19,580.0",12.68
City of Courtland,AL,Municipal,212,"21,214","2,193.0",10.34
City of Dothan - (AL),AL,Municipal,"5,414","404,400","43,009.0",10.64
City of Florence - (AL),AL,Municipal,"10,687","431,864","53,141.0",12.31
City of Hartselle,AL,Municipal,"1,124","59,968","7,094.0",11.83
City of Huntsville - (AL),AL,Municipal,"23,010","2,168,220","240,403.0",11.09
City of Muscle Shoals,AL,Municipal,"1,837","109,529","13,519.0",12.34
City of Opelika - (AL),AL,Municipal,"2,371","223,504","26,160.0",11.70
City of Russellville - (AL),AL,Municipal,"1,204","61,920","8,390.0",13.55
City of Scottsboro - (AL),AL,Municipal,"1,639","120,941","14,370.0",11.88
